Mes e Ano, Preço das Açoes
Janeiro de 2015,	R$ 11.54
Fevereiro de 2015,	R$ 10.91
Março de 2015,	R$ 9.33
Abril de 2015,	R$ 10.13
Maio de 2015,	R$ 9.69
Junho de 2015,	R$ 8.11
Julho de 2015,	R$ 8.19
Agosto de 2015,	R$ 6.03
Setembro de 2015,	R$ 4.89
Outubro de 2015,	R$ 5.32
Novembro de 2015,	R$ 5.14
Dezembro de 2015,	R$ 4.14
Janeiro de 2016,	R$ 2.93
Fevereiro de 2016,	R$ 3.11
Março de 2016,	R$ 5.20
Abril de 2016,	R$ 5.39
Maio de 2016,	R$ 4.51
Junho de 2016,	R$ 4.92
Julho de 2016,	R$ 6.05
Agosto de 2016,	R$ 6.10
Setembro de 2016,	R$ 6.86
Outubro de 2016,	R$ 6.43
Novembro de 2016,	R$ 5.90
Dezembro de 2016,	R$ 5.98
Janeiro de 2017,	R$ 7.16
Fevereiro de 2017,	R$ 7.49
Março de 2017,	R$ 8.02
Abril de 2017,	R$ 7.86
Maio de 2017,	R$ 6.75
Junho de 2017,	R$ 6.86
Julho de 2017,	R$ 7.81
Agosto de 2017,	R$ 7.45
Setembro de 2017,	R$ 6.99
Outubro de 2017,	R$ 6.37
Novembro de 2017,	R$ 5.20
Dezembro de 2017,	R$ 5.18
Janeiro de 2018,	R$ 5.92
Fevereiro de 2018,	R$ 5.98
Março de 2018,	R$ 5.42
Abril de 2018,	R$ 6.12
Maio de 2018,	R$ 5.20
Junho de 2018,	R$ 5.23
Julho de 2018,	R$ 5.86
Agosto de 2018,	R$ 4.96
Setembro de 2018,	R$ 5.61
Outubro de 2018,	R$ 5.46
Novembro de 2018,	R$ 6.70
Dezembro de 2018,	R$ 6.36
Janeiro de 2019,	R$ 7.37
Fevereiro de 2019,	R$ 8.02
Março de 2019,	R$ 7.49
Abril de 2019,	R$ 8.24
Maio de 2019,	R$ 7.49
Junho de 2019,	R$ 7.57
Julho de 2019,	R$ 8.60
Agosto de 2019,	R$ 9.08
Setembro de 2019,	R$ 9.45
Outubro de 2019,	R$ 11.26
Novembro de 2019,	R$ 12.02
Dezembro de 2019,	R$ 12.96
Janeiro de 2020,	R$ 12.50
Fevereiro de 2020,	R$ 9.65
Março de 2020,	R$ 4.73
Abril de 2020,	R$ 4.43
Maio de 2020,	R$ 5.53
Junho de 2020,	R$ 7.06
Julho de 2020,	R$ 7.16
Agosto de 2020,	R$ 7.65
Setembro de 2020,	R$ 7.53
Outubro de 2020,R$ 7.37
Novembro de 2020,	R$ 8.20
Dezembro de 2020,	R$ 7.92
Janeiro de 2021,	R$ 6.83
Fevereiro de 2021,	R$ 6.97
Março de 2021,	R$ 6.37
Abril de 2021,	R$ 6.17
Maio de 2021,	R$ 6.36
Junho de 2021,	R$ 6.86
Julho de 2021,	R$ 6.05
Agosto de 2021,	R$ 5.35
Setembro de 2021,	R$ 5.19
Outubro de 2021,	R$ 4.60
Novembro de 2021,	R$ 3.84
Dezembro de 2021,	R$ 3.69
Janeiro de 2022,	R$ 3.59
Fevereiro de 2022,	R$ 3.46
Março de 2022,	R$ 3.21
Abril de 2022,	R$ 3.12
Maio de 2022,	R$ 2.74
Junho de 2022,	R$ 2.52
Julho de 2022,	R$ 2.59
Agosto de 2022,	R$ 2.95
Setembro de 2022,	R$ 2.49
Outubro de 2022,	R$ 2.05
Novembro de 2022,	R$ 1.51
Dezembro de 2022,	R$ 1.12
Janeiro de 2023,	R$ 0.93
Fevereiro de 2023,	R$ 0.78
Março de 2023,	R$ 0.66
Abril de 2023,	R$ 0.71
Maio de 2023,	R$ 0.81
Junho de 2023,	R$ 1.02
Julho de 2023,	R$ 1.17
Agosto de 2023,	R$ 0.84
Setembro de 2023,	R$ 0.71
Outubro de 2023,	R$ 0.61
Novembro de 2023,	R$ 0.64
Dezembro de 2023,	R$ 2.36
Janeiro de 2024,	R$ 2.16
Fevereiro de 2024,	R$ 1.81
Março de 2024,	R$ 1.77
Abril de 2024,	R$ 1.84
Maio de 2024,	R$ 2.04
Junho de 2024,	R$ 2.17
Julho de 2024,	R$ 2.75
Agosto de 2024,	R$ 2.64
Setembro de 2024,	R$ 2.53
Outubro de 2024,	R$ 2.47
Novembro de 2024,	R$ 2.44
Dezembro de 2024,	R$ 2.90
Janeiro de 2025,	R$ 3.11
Fevereiro de 2025,	R$ 2.76
Março de 2025,	R$ 2.68
Abril de 2025,	R$ 2.52
Maio de 2025,	R$ 2.39
Junho de 2025,	R$ 2.33
Julho de 2025,	R$ 2.64